angle_deg,distance_mm,quality,rotation
256.22,0.0,0,2
257.14,129.2,76,2
258.06,0.0,0,2
258.98,0.0,0,2
259.90,0.0,0,2
260.82,0.0,0,2
261.73,0.0,0,2
262.65,0.0,0,2
263.57,0.0,0,2
264.49,0.0,0,2
265.41,0.0,0,2
266.33,0.0,0,2
267.24,0.0,0,2
268.16,0.0,0,2
269.08,0.0,0,2
270.00,0.0,0,2
270.92,0.0,0,2
271.84,0.0,0,2
272.76,0.0,0,2
273.67,0.0,0,2
274.59,0.0,0,2
275.51,0.0,0,2
276.43,0.0,0,2
277.35,0.0,0,2
278.27,0.0,0,2
279.18,0.0,0,2
280.10,0.0,0,2
281.02,0.0,0,2
281.94,0.0,0,2
282.86,0.0,0,2
283.78,0.0,0,2
284.69,0.0,0,2
285.61,195.8,17,2
286.53,196.2,17,2
287.45,196.0,15,2
288.37,196.2,12,2
289.29,196.2,12,2
290.20,196.2,12,2
291.12,0.0,0,2
292.04,0.0,0,2
292.96,0.0,0,2
293.88,0.0,0,2
294.80,0.0,0,2
295.71,0.0,0,2
296.63,0.0,0,2
297.55,0.0,0,2
298.47,0.0,0,2
299.39,0.0,0,2
300.31,0.0,0,2
301.22,704.5,226,2
302.14,704.5,188,2
303.06,704.5,172,2
303.98,704.8,164,2
304.90,704.5,141,2
305.82,704.5,121,2
306.73,704.5,92,2
307.65,704.5,75,2
308.57,704.5,54,2
309.49,704.5,47,2
310.41,704.5,33,2
311.33,704.8,21,2
312.24,896.2,44,2
313.16,896.2,63,2
314.08,896.5,84,2
315.00,896.5,120,2
315.92,896.5,148,2
316.84,896.5,175,2
317.76,896.5,197,2
318.67,896.5,203,2
319.59,896.5,226,2
320.51,896.0,146,2
321.43,960.2,11,2
322.35,896.2,193,2
323.27,960.2,81,2
324.18,960.2,28,2
325.10,960.2,136,2
326.02,960.0,127,2
326.94,960.0,136,2
327.86,960.2,239,2
328.78,960.0,213,2
329.69,1024.0,53,2
330.61,1024.0,76,2
331.53,1024.0,99,2
332.45,1024.2,108,2
333.37,1024.0,170,2
334.29,1024.0,242,2
335.20,1088.2,25,2
336.12,1088.0,94,2
337.04,1088.0,242,2
337.96,1152.2,100,2
338.88,1152.2,191,2
339.80,1216.2,30,2
340.71,1216.2,91,2
341.63,1216.2,159,2
342.55,1216.2,236,2
343.47,1280.0,61,2
344.39,1280.0,63,2
345.31,0.0,0,2
346.22,0.0,0,2
347.14,10.8,227,2
348.06,11.8,230,2
348.98,0.0,0,2
349.90,3.8,229,2
350.82,0.0,0,2
351.73,0.0,0,2
352.65,0.0,0,2
353.57,0.0,0,2
354.49,0.0,0,2
355.41,8.0,207,2
356.33,9.0,206,2
357.24,0.0,0,2
358.16,0.0,0,2
359.08,0.0,0,2
0.00,8.5,186,3
0.90,7.8,183,3
1.80,8.0,181,3
2.70,7.2,183,3
3.60,0.0,0,3
4.50,0.0,0,3
5.40,0.0,0,3
6.30,0.0,0,3
7.20,15.2,129,3
8.10,0.0,0,3
9.00,0.0,0,3
9.90,0.0,0,3
10.80,0.0,0,3
11.70,0.0,0,3
12.60,0.0,0,3
13.50,0.0,0,3
14.40,0.0,0,3
15.30,0.0,0,3
16.20,14.8,123,3
17.10,0.0,0,3
18.00,0.0,0,3
18.90,0.0,0,3
19.80,0.0,0,3
20.70,18.0,119,3
21.60,0.0,0,3
22.50,0.0,0,3
23.40,0.0,0,3
24.30,0.0,0,3
25.20,0.0,0,3
26.10,7.0,124,3
27.00,0.0,0,3
27.90,0.0,0,3
28.80,0.0,0,3
29.70,0.0,0,3
30.60,0.0,0,3
31.50,0.0,0,3
32.40,0.0,0,3
33.30,0.0,0,3
34.20,0.0,0,3
35.10,0.0,0,3
36.00,0.0,0,3
36.90,0.0,0,3
37.80,0.0,0,3
38.70,0.0,0,3
39.60,68.0,35,3
40.50,68.8,30,3
41.40,0.0,0,3
42.30,67.8,25,3
43.20,0.0,0,3
44.10,66.5,27,3
45.00,68.2,29,3
45.90,0.0,0,3
46.80,68.5,31,3
47.70,66.5,32,3
48.60,68.0,35,3
49.50,0.0,0,3
50.40,68.0,38,3
51.30,66.5,40,3
52.20,0.0,0,3
53.10,67.8,42,3
54.00,0.0,0,3
54.90,68.0,43,3
55.80,67.0,45,3
56.70,0.0,0,3
57.60,0.0,0,3
58.50,0.0,0,3
59.40,2.2,238,3
60.30,0.0,0,3
61.20,2.8,235,3
62.10,0.0,0,3
63.00,0.0,0,3
63.90,0.0,0,3
64.80,0.0,0,3
65.70,0.0,0,3
66.60,0.0,0,3
67.50,0.0,0,3
68.40,0.0,0,3
69.30,0.0,0,3
70.20,0.0,0,3
71.10,3.5,217,3
72.00,0.0,0,3
72.90,0.0,0,3
73.80,0.0,0,3
74.70,3.8,212,3
75.60,0.0,0,3
76.50,3.8,210,3
77.40,0.0,0,3
78.30,4.2,208,3
79.20,3.8,207,3
80.10,3.8,206,3
81.00,0.0,0,3
81.90,0.0,0,3
82.80,0.0,0,3
83.70,0.0,0,3
84.60,0.0,0,3
85.50,0.0,0,3
86.40,0.0,0,3
87.30,0.0,0,3
88.20,0.0,0,3
89.10,0.0,0,3
90.00,0.0,0,3
90.90,4.0,202,3
91.80,0.0,0,3
92.70,0.0,0,3
93.60,4.2,203,3
94.50,0.0,0,3
95.40,0.0,0,3
96.30,3.2,202,3
97.20,0.0,0,3
98.10,4.0,203,3
99.00,0.0,0,3
99.90,0.0,0,3
100.80,0.0,0,3
101.70,0.0,0,3
102.60,4.5,205,3
103.50,0.0,0,3
104.40,0.0,0,3
105.30,0.0,0,3
106.20,0.0,0,3
107.10,3.8,209,3
108.00,0.0,0,3
108.90,4.0,211,3
109.80,4.5,212,3
110.70,3.8,212,3
111.60,4.0,214,3
112.50,3.8,215,3
113.40,0.0,0,3
114.30,0.0,0,3
115.20,0.0,0,3
116.10,0.0,0,3
117.00,3.2,222,3
117.90,0.0,0,3
118.80,0.0,0,3
